@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1131,13622,0.37117241379310345,0.1124391840565262,10000,2812,0.2887903736542115,-105.0,21000,6244,0.22867608581894297,-189.0
1132,13949,0.3695211038961039,-0.13433840452919849,10000,4258,0.6147208121827411,-14.0,15000,4963,0.39299820466786356,-104.0
1135,14590,0.4379310344827586,0.042599034902907396,10000,4348,0.4593465045592705,-51.0,15000,5095,0.33131749460043197,-4.0
1136,15151,0.4883720930232558,0.16035689151474908,15000,4878,0.377737881508079,-104.0,21097,7738,0.27829252150893447,-36.0
1143,14121,0.4078855817549285,-0.011292124984407015,42195,15168,0.47779310344827586,-49.0,10000,3828,0.36056231003039513,-51.0
1144,12781,0.2905167748917749,0.059498586543259346,42195,12123,0.26899949286387015,-14.0,21097,5595,0.19303688383316098,-84.0
1147,12406,0.2873103448275862,0.060146294889326074,21097,5768,0.21291508675169482,-35.0,21097,5825,0.24141301312482547,-28.0
1148,13876,0.3645833333333333,0.043993137853863495,21097,6049,0.3919559855814836,-14.0,21097,6084,0.24922440537745605,-84.0
1151,13579,0.3744838078678548,-0.1541552152526821,42195,14968,0.7441745979652117,-98.0,42195,12780,0.31310344827586206,-315.0
1153,12691,0.3069655172413793,0.09001511189233158,15000,4087,0.1861771058315335,-55.0,21000,6426,0.247723704866562,-239.0
1154,16843,0.61095414040426,0.33713064283312105,10000,2970,0.2082238077356365,-115.0,21097,6869,0.3394231874066414,-333.0
1155,13597,0.3757878722016953,0.12525163870139927,15000,4424,0.296229802513465,-104.0,21097,6438,0.2048426644871271,-239.0
1157,14302,0.38405843124801525,0.16215546470079117,21097,6573,0.2561493628371036,-21.0,10000,2702,0.18765657025734456,-49.0
1161,14655,0.40647824706255953,-0.016196295637943448,42195,14182,0.37633416787455526,-364.0,42195,15689,0.4690149175264507,-21.0
1163,14742,0.4231601731601732,0.06629347079643733,42195,14257,0.4236035644425125,-14.0,21097,6440,0.2901298402849592,-84.0
1164,13207,0.3475331449684851,-0.04651111802949193,21097,7138,0.3703320694013559,-448.0,42195,14909,0.41775645659459815,-280.0
