Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass,RunnerID,MarathonDate,MarathonResult,RaceOneResult,RaceOneResultInSeconds,RaceTwoResult,RaceTwoResultInSeconds
Jerusalem Marathon,מרתון סמסונג תל-אביב ,10000,0.4534731323722149,-14.0,מרוץ אייל ,15000,0.3142857142857143,-104.0,13949,0.3695211038961039,-0.014358319432860756,,1132.0,2018-03-09,03:52:29,01:10:58,4258,01:22:43,4963
מרתון טבריה Winner ,מרוץ הלילה של תל-אביב,10000,0.4593465045592705,-51.0,מרוץ אייל ,15000,0.3332376166547021,-4.0,14590,0.4188654353562005,0.022573374749214226,,1135.0,2017-01-06,04:03:10,01:12:28,4348,01:24:55,5095
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.45699208443271766,-49.0,מרוץ הלילה של תל-אביב,10000,0.36056231003039513,-51.0,14121,0.37183410378279835,-0.03694309344875801,,1143.0,2017-02-24,03:55:21,04:12:48,15168,01:03:48,3828
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.2417475096034898,-14.0,חצי מרתון עמק המעיינות,21097,0.19303688383316098,-84.0,12781,0.2905167748917749,0.07312457817344953,,1144.0,2018-03-09,03:33:01,03:22:03,12123,01:33:15,5595
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.21291508675169482,-35.0,חצי מרתון חיפה ה-19,21097,0.24141301312482547,-28.0,12406,0.274802110817942,0.04763806087968184,,1147.0,2017-01-06,03:26:46,01:36:08,5768,01:37:05,5825
Jerusalem Marathon,מרתון סמסונג תל-אביב ,21097,0.23156187386699742,-14.0,חצי מרתון עמק המעיינות,21097,0.24922440537745605,-84.0,13876,0.3645833333333333,0.12419019371110657,,1148.0,2018-03-09,03:51:16,01:40:49,6049,01:41:24,6084
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.2815571033298349,-21.0,מרתון טבריה Winner ,10000,0.16291024120205616,-49.0,14302,0.38405843124801525,0.16182475898206972,,1157.0,2017-03-17,03:58:22,01:49:33,6573,00:45:02,2702
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.38068884693013866,-14.0,חצי מרתון עמק המעיינות,21097,0.2901298402849592,-84.0,14742,0.4231601731601732,0.08775082955262425,,1163.0,2018-03-09,04:05:42,03:57:37,14257,01:47:20,6440
מרתון טבריה Winner ,חצי מרתון חיפה ה-19,21097,0.31457693381736945,-63.0,חצי מרתון אשכול גליל מערבי,21097,0.25838168923275306,-28.0,14410,0.40699208443271767,0.12051277290765644,,1165.0,2017-01-06,04:00:10,01:45:49,6349,01:46:37,6397
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.3002799661436291,-14.0,Desert Marathon ,42195,0.6604857236626189,-98.0,13881,0.36492153679653677,-0.11546130810658722,,1171.0,2018-03-09,03:51:21,03:37:02,13022,04:00:58,14458
