Event,Date,Heat,Type,raceid,eventid,Finishers
"לרוץ עם פסקל, הר איתן",23/08/2018,"4 ק""מ",,30898,9236,104
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ",2K,30899,9236,68
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ  גברים",,30900,9236,240
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ נשים",,30901,9236,53
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ מיוחד זיכרון מנחם וילדים מלווים",2K,30902,9236,41
JAYBIRD Desert Night Run,26/07/2018,חצי מרתון,,30806,9218,251
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ",10K,30807,9218,508
JAYBIRD Desert Night Run,26/07/2018,"5 ק""מ",5K,30808,9218,186
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ הליכה",10K,30809,9218,54
"מרוץ ראמוס, כפר מעאר",14/07/2018,"4 ק""מ",,30534,9189,198
מרוץ נחל,12/07/2018,10 קילומטר ריצה,10K,30532,9188,429
מרוץ נחל,12/07/2018,חצי מרתון,חצי מרתון,30533,9188,222
מרוץ נחל,12/07/2018,5 קילומטר ריצה,5K,30531,9188,430
מרוץ שערי תקווה ה-1,05/07/2018,05KM,5K,30528,9185,90
מרוץ לילה ערד מצדה 2018,29/06/2018,חצי מרתון,חצי מרתון,30474,9175,693
מרוץ לילה ערד מצדה 2018,29/06/2018,"11 ק""מ",,30475,9175,514
מרוץ שדרות ה-1,21/06/2018,10KM,,30397,9164,349
מרוץ שדרות ה-1,21/06/2018,05KM,,30398,9164,258
מרוץ סיום העונה,15/06/2018,05KM,,29996,9128,401
מרוץ מרום הגליל ה-6,08/06/2018,10KM,10K,29951,9117,95
מרוץ מרום הגליל ה-6,08/06/2018,05KM,5K,29952,9117,136
מרוץ כפר יונה ה-1,07/06/2018,02KM,2K,29950,9116,323
מרוץ לילה כפר סבא,07/06/2018,"7.5 ק""מ",,29953,9118,691
מרוץ לילה כפר סבא,07/06/2018,"3 ק""מ",,29954,9118,948
