Event,Date,Heat,Type,Meters,raceid,eventid,Finishers
"לרוץ עם פסקל, הר איתן",23/08/2018,"4 ק""מ",,4000,30898,9236,104
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ",2K,2000,30899,9236,68
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ  גברים",,8000,30900,9236,240
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ נשים",,8000,30901,9236,53
JAYBIRD Desert Night Run,26/07/2018,חצי מרתון,,21000,30806,9218,251
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ",10K,10000,30807,9218,508
JAYBIRD Desert Night Run,26/07/2018,"5 ק""מ",5K,5000,30808,9218,186
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ הליכה",10K,10000,30809,9218,54
"מרוץ ראמוס, כפר מעאר",14/07/2018,"4 ק""מ",,4000,30534,9189,198
מרוץ נחל,12/07/2018,10 קילומטר ריצה,10K,10000,30532,9188,429
מרוץ נחל,12/07/2018,חצי מרתון,H.Marathon,21097,30533,9188,222
מרוץ נחל,12/07/2018,5 קילומטר ריצה,5K,5000,30531,9188,430
מרוץ שערי תקווה ה-1,05/07/2018,05KM,5K,5000,30528,9185,90
מרוץ לילה ערד מצדה 2018,29/06/2018,חצי מרתון,H.Marathon,21097,30474,9175,693
מרוץ לילה ערד מצדה 2018,29/06/2018,"11 ק""מ",,11000,30475,9175,514
מרוץ שדרות ה-1,21/06/2018,10KM,,10000,30397,9164,349
מרוץ שדרות ה-1,21/06/2018,05KM,,5000,30398,9164,258
מרוץ סיום העונה,15/06/2018,05KM,,5000,29996,9128,401
מרוץ מרום הגליל ה-6,08/06/2018,10KM,10K,10000,29951,9117,95
מרוץ מרום הגליל ה-6,08/06/2018,05KM,5K,5000,29952,9117,136
מרוץ כפר יונה ה-1,07/06/2018,02KM,2K,2000,29950,9116,323
מרוץ לילה כפר סבא,07/06/2018,"7.5 ק""מ",,7500,29953,9118,691
מרוץ לילה כפר סבא,07/06/2018,"3 ק""מ",,3000,29954,9118,948
מרוץ כפר יונה ה-1,07/06/2018,10KM,10K,10000,29948,9116,139
מרוץ כפר יונה ה-1,07/06/2018,05KM,5K,5000,29949,9116,248
REEFITNESS חיפה 2018,01/06/2018,"ריצה 5 ק""מ",5K,5000,29871,9099,120
מרוץ MS ישראל 2018,01/06/2018,10KM,10K,10000,29870,9098,235
מרוץ ערב אשדוד,31/05/2018,"5 ק""מ",5K,5000,29869,9097,285
מרוץ בית שמש 2018,30/05/2018,02KM,2K,2000,29868,9096,146
מרוץ בית שמש 2018,30/05/2018,05KM,5K,5000,29867,9096,600
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 10 ק""מ",10K,10000,29660,9076,54
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 5 ק""מ",5K,5000,29661,9076,50
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"15 ק""מ",15K,15000,29656,9075,22
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"10 ק""מ",10K,10000,29657,9075,70
מרוץ גני תקווה ה-1,25/05/2018,10KM,10K,10000,29639,9072,427
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"5 ק""מ",5K,5000,29658,9075,65
מרוץ גני תקווה ה-1,25/05/2018,05KM,5K,5000,29640,9072,308
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"עממי 2 ק""מ",2K,2000,29659,9075,11
מרוץ מטריקס ה-3,24/05/2018,10KM,10K,10000,29636,9071,514
מרוץ מטריקס ה-3,24/05/2018,05KM,5K,5000,29637,9071,298
מרוץ מטריקס ה-3,24/05/2018,04KM,,4000,29638,9071,96
מרוץ הערב של מיתר,24/05/2018,"10 ק""מ",10K,10000,29632,9070,111
מרוץ הערב של מיתר,24/05/2018,"5 ק""מ",5K,5000,29633,9070,168
מרוץ הערב של מיתר,24/05/2018,"2 ק""מ",2K,2000,29634,9070,263
מרוץ כפר תבור,23/05/2018,10k,10K,10000,29642,9073,11
מרוץ כפר תבור,23/05/2018,2k,2K,2000,29643,9073,35
מרוץ כפר תבור,23/05/2018,5k,5K,5000,29641,9073,43
מרוץ רהט,18/05/2018,5k,5K,5000,29318,8760,84
מרוץ הכפר ה-5,18/05/2018,10KM,10K,10000,29314,8758,54
מרוץ הכפר ה-5,18/05/2018,05KM,5K,5000,29315,8758,93
מרוץ כהילה,17/05/2018,10KM,10K,10000,29316,8759,79
מרוץ כהילה,17/05/2018,05KM,5K,5000,29317,8759,168
מרוץ יגור 2018,12/05/2018,10k,10K,10000,29311,8756,47
מרוץ ג' למען מלאכיות הדממה,12/05/2018,10k,10K,10000,29306,8755,179
מרוץ ג' למען מלאכיות הדממה,12/05/2018,2k,2K,2000,29307,8755,156
מרוץ ג' למען מלאכיות הדממה,12/05/2018,5k,5K,5000,29308,8755,164
מרוץ עופרה 2018,11/05/2018,"5 ק""מ נשים",5K,5000,29273,8749,12
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"15 ק""מ",15K,15000,29254,8746,416
מרוץ התבור 2018,11/05/2018,5.6k IDF,,5600,29280,8750,119
מרוץ עופרה 2018,11/05/2018,"2 ק""מ גברים",2K,2000,29274,8749,27
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"10 ק""מ",10K,10000,29255,8746,561
מרוץ מהמדבר לים 2018,11/05/2018,25k,,25000,29281,8751,114
מרוץ עופרה 2018,11/05/2018,"2 ק""מ נשים",2K,2000,29275,8749,15
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"5 ק""מ",5K,5000,29256,8746,420
מרוץ מהמדבר לים 2018,11/05/2018,D2S,,50000,29282,8751,189
מרוץ התבור 2018,11/05/2018,10.6k,,10600,29276,8750,223
אליפות אפרת גוש עציון,11/05/2018,חצי מרתון,H.Marathon,21097,29257,8747,95
מרוץ גבעת שמואל 2018,11/05/2018,10KM,10K,10000,29251,8745,504
מרוץ בית אריה 2018,11/05/2018,21k,,21000,29301,8753,18
מרוץ התבור 2018,11/05/2018,5.6k,,5600,29277,8750,111
אליפות אפרת גוש עציון,11/05/2018,"10 ק""מ",10K,10000,29258,8747,159
מרוץ גבעת שמואל 2018,11/05/2018,05KM,5K,5000,29252,8745,542
מרוץ בית אריה 2018,11/05/2018,5k,5K,5000,29302,8753,98
מרוץ התבור 2018,11/05/2018,2k,2K,2000,29278,8750,50
אליפות אפרת גוש עציון,11/05/2018,"5 ק""מ",5K,5000,29259,8747,408
מרוץ עופרה 2018,11/05/2018,"5 ק""מ גברים",5K,5000,29272,8749,34
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,חצי מרתון,H.Marathon,21097,29253,8746,170
מרוץ בית אריה 2018,11/05/2018,10k,10K,10000,29303,8753,51
מרוץ התבור 2018,11/05/2018,10.6k IDF,,10600,29279,8750,149
מרוץ טלמונים 2018,10/05/2018,10KM,10K,10000,29248,8744,62
מרוץ טלמונים 2018,10/05/2018,05KM,5K,5000,29249,8744,219
