ImprovementRate,MarathonResultInSeconds,MarathonResultInSecondsNormalized,RaceOneKM,RaceOneResultInSeconds,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSeconds,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.112439184,13622,0.371172414,10000,2812,0.288790374,-105,21000,6244,0.228676086,-189,N
-0.134338405,13949,0.369521104,10000,4258,0.614720812,-14,15000,4963,0.392998205,-104,Y
0.042599035,14590,0.437931034,10000,4348,0.459346505,-51,15000,5095,0.331317495,-4,N
0.160356892,15151,0.488372093,15000,4878,0.377737882,-104,21097,7738,0.278292522,-36,N
-0.011292125,14121,0.407885582,42195,15168,0.477793103,-49,10000,3828,0.36056231,-51,Y
0.059498587,12781,0.290516775,42195,12123,0.268999493,-14,21097,5595,0.193036884,-84,N
0.060146295,12406,0.287310345,21097,5768,0.212915087,-35,21097,5825,0.241413013,-28,N
0.043993138,13876,0.364583333,21097,6049,0.391955986,-14,21097,6084,0.249224405,-84,N
-0.154155215,13579,0.374483808,42195,14968,0.744174598,-98,42195,12780,0.313103448,-315,Y
0.090015112,12691,0.306965517,15000,4087,0.186177106,-55,21000,6426,0.247723705,-239,N
0.337130643,16843,0.61095414,10000,2970,0.208223808,-115,21097,6869,0.339423187,-333,N
0.125251639,13597,0.375787872,15000,4424,0.296229803,-104,21097,6438,0.204842664,-239,N
0.162155465,14302,0.384058431,21097,6573,0.256149363,-21,10000,2702,0.18765657,-49,N
-0.016196296,14655,0.406478247,42195,14182,0.376334168,-364,42195,15689,0.469014918,-21,Y
0.066293471,14742,0.423160173,42195,14257,0.423603564,-14,21097,6440,0.29012984,-84,N
-0.046511118,13207,0.347533145,21097,7138,0.370332069,-448,42195,14909,0.417756457,-280,Y
0.13903793,14410,0.425517241,21097,6349,0.314576934,-63,21097,6397,0.258381689,-28,N
0.042874553,15240,0.456845238,42195,13981,0.403607911,-14,10000,4121,0.424333459,-115,N
0.120624373,13419,0.333671537,21097,6547,0.215978749,-357,21097,6107,0.210115578,-21,N
-0.006304049,15150,0.386542282,42195,14693,0.410001318,-245,42195,14031,0.375691344,-70,Y
0.044392456,13852,0.387089293,21097,6441,0.290244743,-84,42195,14323,0.39514893,-329,N
-0.132386456,13881,0.364921537,42195,13022,0.334130262,-14,42195,14458,0.660485724,-98,Y
0.088455528,15346,0.502589872,42195,14527,0.433586207,-49,42195,14316,0.394682482,-364,N
0.283505817,14762,0.449793103,15000,4469,0.157123043,-273,10000,2739,0.17545153,-7,N
-0.010141706,14307,0.384375992,21097,6192,0.261633919,-105,21097,7120,0.527401478,-238,Y
0.013436841,14694,0.408955224,21000,8048,0.41747776,-364,42195,13999,0.373559006,-70,N
0.068171391,12403,0.289284938,10000,2664,0.150769808,-115,42195,12615,0.291457286,-249,N
-0.037245007,11821,0.246965517,10000,2518,0.195861577,-77,42195,13984,0.372559472,-287,Y
0.079679658,13305,0.349310345,15000,4480,0.166968443,-91,42195,13980,0.37229293,-273,N
0.264207648,15373,0.504455553,21097,6496,0.248542922,-364,10000,3151,0.231952888,-100,N
-0.097871772,14945,0.473706773,10000,3922,0.375453331,-296,10000,5977,0.76770376,0,Y
0.112995043,13784,0.35836039,42195,12790,0.317322321,-14,15000,4208,0.173408371,-287,N
-0.02538326,12498,0.271374459,15000,5110,0.333477322,-482,42195,12509,0.260038115,-260,Y
0.158517273,13991,0.363750165,21097,6039,0.23555209,-21,10000,2728,0.174913694,-13,N
0.010016463,11346,0.214206897,21097,5040,0.12926577,-35,21097,6486,0.279115096,-280,N
-0.142763978,14667,0.418087121,42195,13091,0.339129175,-14,42195,15202,0.782573023,-98,Y
0.085664288,12341,0.284793161,21097,5617,0.195564748,-84,15000,3903,0.202692998,-20,N
-0.405657796,13590,0.251792347,10000,4580,0.948004837,-35,42195,13899,0.366895449,-280,Y
-0.046799201,12668,0.295554697,10000,4014,0.435518888,-112,21000,6440,0.249188906,-231,Y
