@relation WekaReadyOutput

@attribute ﻿ImprovementRate numeric
@attribute MarathonResultInSeconds numeric
@attribute MarathonResultInSecondsNormalized numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSeconds numeric
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSeconds numeric
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {N,Y}

@data
0.153571,12848,0.321524,5000,1322,0.123692,-119,21097,5847,0.212215,-209,N
0.393567,15782,0.53351,5000,1511,0.054676,-22,21097,5875,0.22521,-15,N
-0.051572,14644,0.40578,5000,2475,0.584357,-343,42195,13484,0.330347,-21,Y
0.340639,13836,0.558418,5000,1442,0.176051,-14,21097,6607,0.259508,-252,N
-0.065226,14581,0.401778,5000,2445,0.547723,-364,42195,14190,0.386286,-70,Y
0.123526,13111,0.335931,5000,1534,0.215647,-55,5000,1446,0.209163,-10,N
0.159591,17816,0.608793,5000,1785,0.382778,-22,42195,16131,0.515626,-27,N
0.072004,16151,0.501493,5000,1393,0.209732,-14,42195,17243,0.649246,-7,N
0.228935,15890,0.544646,5000,1929,0.356069,-140,21000,6690,0.275353,-203,N
0.112739,14457,0.438093,5000,1603,0.235968,-610,42195,14617,0.41474,-167,N
0.112439,13622,0.371172,10000,2812,0.28879,-105,21000,6244,0.228676,-189,N
-0.134338,13949,0.369521,10000,4258,0.614721,-14,15000,4963,0.392998,-104,Y
0.042599,14590,0.437931,10000,4348,0.459347,-51,15000,5095,0.331317,-4,N
0.337131,16843,0.610954,10000,2970,0.208224,-115,21097,6869,0.339423,-333,N
0.068171,12403,0.289285,10000,2664,0.15077,-115,42195,12615,0.291457,-249,N
-0.037245,11821,0.246966,10000,2518,0.195862,-77,42195,13984,0.372559,-287,Y
-0.097872,14945,0.473707,10000,3922,0.375453,-296,10000,5977,0.767704,0,Y
-0.405658,13590,0.251792,10000,4580,0.948005,-35,42195,13899,0.366895,-280,Y
-0.046799,12668,0.295555,10000,4014,0.435519,-112,21000,6440,0.249189,-231,Y
0.38555,14891,0.731539,10000,3870,0.377206,-17,21097,7514,0.314773,-228,N
0.135831,13211,0.342828,10000,2679,0.142287,-51,15000,4681,0.271706,-4,N
0.294991,14607,0.445458,10000,2681,0.121332,-98,10000,3122,0.179602,-120,N
0.334222,18100,0.702021,10000,3319,0.353455,-328,10000,3586,0.382144,-364,N
0.343196,17603,0.61668,10000,3162,0.244273,-129,15000,4565,0.302696,-270,N
0.208695,14411,0.391422,10000,2685,0.165017,-34,21097,5761,0.200435,-14,N
0.044052,13200,0.347026,10000,2697,0.156966,-115,42195,16043,0.448982,-25,N
-0.104478,15100,0.382223,10000,5009,0.584916,-2,42195,14223,0.388485,-313,Y
0.041748,14259,0.381327,10000,2814,0.213163,-70,10000,4383,0.465995,-51,N
0.134308,13999,0.404912,10000,2912,0.197334,-115,42195,13293,0.343873,-249,N
-0.190312,14665,0.408157,10000,4097,0.851431,-21,42195,13578,0.345505,-49,Y
0.138988,14153,0.407793,10000,2958,0.195303,-99,42195,13530,0.342307,-265,N
0.250268,14013,0.405926,10000,2568,0.136919,-335,21097,6140,0.174397,-8,N
0.010309,14022,0.58894,10000,5130,0.771842,-251,42195,15137,0.385419,-113,N
0.143347,14049,0.400621,10000,2841,0.146646,-105,42195,14054,0.367901,-189,N
0.095508,13455,0.359655,10000,2900,0.25023,-7,21097,6335,0.278065,-28,N
-0.076306,13299,0.354198,10000,3574,0.316894,-91,42195,16856,0.544114,-49,Y
0.127602,12423,0.276614,10000,2672,0.140957,-100,10000,2570,0.157067,-228,N
0.02413,15253,0.495762,10000,5042,0.597259,-115,15000,5197,0.346004,-353,N
-0.063455,15025,0.479244,10000,4317,0.476866,-582,10000,4267,0.608531,-61,Y
0.119371,14128,0.414258,10000,3554,0.305211,-343,10000,3363,0.284562,-21,N
0.074592,13593,0.375498,10000,3602,0.317629,-464,21097,6538,0.284183,-264,N
0.047637,12597,0.30334,10000,2681,0.180211,-336,42195,13129,0.331194,-28,N
0.159655,13606,0.339854,10000,2699,0.160008,-21,15000,3935,0.20039,-21,N
0.178039,15023,0.479099,10000,3345,0.31722,-300,10000,3079,0.2849,-49,N
0.057173,13783,0.351096,10000,2606,0.227257,-147,42195,13943,0.360588,-217,N
0.096725,13772,0.357549,10000,3619,0.319564,-301,21097,6411,0.202084,-56,N
0.055288,14273,0.424763,10000,2991,0.281661,-329,42195,15455,0.457288,-14,N
-0.015096,13022,0.329793,10000,2853,0.239741,-48,10000,4299,0.450038,-3,Y
0.16082,15348,0.502644,10000,3295,0.269245,-115,21097,8175,0.414403,-249,N
0.067704,13230,0.313612,10000,2525,0.235202,-21,42195,12244,0.256614,-49,N
0.030483,8682,0.030483,10000,1861,0,-279,10000,1870,0,-21,N
0.097913,18014,0.695791,10000,3615,0.537325,-136,42195,18622,0.658431,-207,N
0.097824,16794,0.561959,10000,3787,0.349685,-357,42195,16329,0.578585,-21,N
-0.089676,15150,0.450758,10000,4393,0.648985,-14,42195,15055,0.431883,-343,Y
0.254376,16209,0.505176,10000,3038,0.275166,-6,21097,6829,0.226435,-113,N
0.285967,17074,0.560114,10000,3272,0.267492,-21,10000,3111,0.280802,-49,N
0.292279,16933,0.599517,10000,3189,0.239172,-51,21097,7473,0.375305,-264,N
0.036863,16244,0.507399,10000,4305,0.436374,-175,42195,15967,0.504698,-259,N
0.11209,15859,0.525448,10000,3137,0.322153,-280,42195,15965,0.504565,-84,N
0.144918,15345,0.502427,10000,3054,0.423757,-476,21000,6842,0.291261,-231,N
0.034571,15423,0.455256,10000,3295,0.339603,-371,42195,15923,0.501766,-63,N
0.155706,16686,0.534534,10000,3332,0.313924,-13,15000,5115,0.443731,-8,N
0.089043,15604,0.522536,10000,3189,0.239172,-100,21097,10064,0.627814,-264,N
0.261123,15881,0.543951,10000,3158,0.291505,-49,10000,2978,0.274149,-7,N
0.07149,15492,0.513077,10000,4088,0.418137,-115,42195,15577,0.465037,-228,N
0.341667,17446,0.634897,10000,3218,0.277093,-230,21000,7015,0.309367,-64,N
0.020617,15101,0.48475,10000,3397,0.374955,-119,42195,16263,0.55331,-294,N
0.276096,17041,0.606966,10000,2978,0.247452,-279,21097,7873,0.414287,-36,N
-0.062297,14805,0.452759,10000,3640,0.555905,-300,42195,15768,0.474206,-15,Y
0.18174,14964,0.474824,10000,3286,0.270118,-364,21097,6865,0.316051,-364,N
0.070387,13422,0.363109,10000,2810,0.167173,-464,42195,14670,0.418271,-313,N
0.277211,13686,0.382236,10000,2767,0.156282,-301,10000,2554,0.053767,-203,N
0.160357,15151,0.488372,15000,4878,0.377738,-104,21097,7738,0.278293,-36,N
0.090015,12691,0.306966,15000,4087,0.186177,-55,21000,6426,0.247724,-239,N
0.125252,13597,0.375788,15000,4424,0.29623,-104,21097,6438,0.204843,-239,N
0.283506,14762,0.449793,15000,4469,0.157123,-273,10000,2739,0.175452,-7,N
0.07968,13305,0.34931,15000,4480,0.166968,-91,42195,13980,0.372293,-273,N
-0.025383,12498,0.271374,15000,5110,0.333477,-482,42195,12509,0.260038,-260,Y
0.338243,17732,0.687051,15000,4205,0.244235,-21,42195,14814,0.453379,-28,N
0.056609,12543,0.296759,15000,4376,0.22779,-55,21097,6213,0.25251,-260,N
-0.06605,12553,0.297448,15000,4222,0.285227,-301,21097,8155,0.44177,-14,Y
0.152057,15299,0.499094,15000,4320,0.277558,-104,42195,15497,0.416516,-358,N
0.167712,13847,0.560223,15000,4591,0.326212,-6,42195,16127,0.458811,-36,N
-0.12771,11386,0.196444,15000,4067,0.221825,-21,42195,14424,0.426483,-28,Y
0.01449,13718,0.339489,15000,4397,0.308157,-21,42195,13523,0.34184,-28,N
0.067113,12809,0.315103,15000,4460,0.15534,-273,42195,13505,0.340641,-91,N
0.028756,11929,0.258217,15000,3872,0.197127,-57,42195,12036,0.261793,-309,N
0.066047,13175,0.345215,15000,4158,0.248474,-104,42195,12733,0.309862,-309,N
0.126438,14550,0.444831,15000,4716,0.348654,-104,42195,12717,0.288132,-673,N
0.084743,13042,0.324468,15000,4608,0.184664,-322,10000,2677,0.294786,-42,N
0.10043,13311,0.355068,15000,4188,0.25386,-104,21097,6933,0.255415,-239,N
0.024313,11273,0.209172,15000,3784,0.142549,-55,21097,5726,0.22717,-224,N
0.058908,13022,0.322922,15000,4278,0.25609,-21,42195,12474,0.27194,-392,N
0.126123,13029,0.330276,15000,4511,0.165445,-273,21097,6114,0.242861,-42,N
0.412185,14007,0.586479,15000,4085,0.235368,-6,10000,2464,0.113218,-11,N
0.110913,13126,0.336966,15000,4123,0.191361,-55,42195,12306,0.260745,-309,N
-0.135217,12524,0.159713,15000,5402,0.375522,-6,21000,6107,0.214338,-239,Y
0.242326,15188,0.479172,15000,4585,0.180548,-91,21000,6860,0.293145,-203,N
0.259696,15785,0.520345,15000,4994,0.316775,-55,10000,3100,0.204523,-36,N
0.132194,13484,0.358639,15000,4004,0.211595,-21,21097,6015,0.241296,-63,N
0.198369,12935,0.327827,15000,4198,0.130497,-126,21097,5280,0.12842,-238,N
0.12377,12153,0.271173,15000,3821,0.187971,-104,10000,2430,0.106834,-11,N
0.173578,13783,0.382276,15000,4133,0.192801,-55,21000,6205,0.224594,-239,N
0.194112,17270,0.641889,15000,4976,0.395332,-104,42195,16131,0.500222,-239,N
0.072351,12937,0.323931,15000,4034,0.178546,-55,42195,13397,0.324615,-239,N
0.134764,13072,0.326788,15000,4517,0.248092,-104,5000,1299,0.135956,-10,N
-0.174586,10908,0.154827,15000,4388,0.306458,-21,42195,13681,0.352369,-28,Y
0.126514,13465,0.330899,15000,4005,0.17437,-125,10000,2652,0.234399,-11,N
0.034728,12567,0.287746,15000,4576,0.178324,-322,42195,13311,0.327714,-91,N
0.230683,15644,0.510621,15000,4574,0.184961,-105,21097,7469,0.374915,-210,N
0.059077,12057,0.263241,15000,4049,0.180706,-55,21097,5729,0.227623,-224,N
0.092994,12922,0.326885,15000,4317,0.27702,-104,10000,2877,0.190762,-11,N
0.074004,10011,0.122138,15000,3344,0.079194,-55,5000,1041,0.017074,-11,N
0.01946,10740,0.172414,15000,3551,0.108999,-55,42195,11348,0.196908,-309,N
0.233588,15799,0.537611,15000,4802,0.289129,-104,10000,2907,0.318917,-211,N
0.230237,16786,0.589379,15000,5425,0.346542,-273,21000,7611,0.371743,-21,N
0.109362,14836,0.454897,15000,5160,0.340677,-55,21000,7407,0.350392,-239,N
0.313625,17917,0.701353,15000,5049,0.381293,-21,21097,6919,0.394164,-91,N
0.147998,16822,0.616699,15000,5521,0.392657,-104,42195,16568,0.544746,-309,N
0.124609,15320,0.50058,15000,5069,0.38454,-21,10000,3864,0.367401,-79,N
0.173181,15835,0.445711,15000,4816,0.210424,-42,10000,3208,0.334636,-136,N
0.167158,16137,0.500603,15000,4488,0.290192,-42,15000,4760,0.376699,-364,N
0.134549,15895,0.485233,15000,4680,0.433167,-14,21097,6695,0.268201,-7,N
0.137758,15497,0.500483,15000,5175,0.342837,-55,21097,7548,0.382614,-260,N
0.177923,15508,0.501241,15000,4645,0.266523,-55,5000,2018,0.380114,-218,N
0.078011,13616,0.346997,15000,4462,0.303052,-118,21097,5991,0.23492,-8,N
0.334727,17546,0.590092,15000,4859,0.297336,-125,15000,4753,0.213394,-218,N
0.145751,14469,0.429586,15000,4543,0.251836,-55,21097,6358,0.315834,-8,N
0.070575,17004,0.555668,15000,5001,0.373498,-42,42195,16892,0.59669,-28,N
0.119398,14254,0.423386,15000,4719,0.197879,-126,42195,14712,0.410098,-217,N
0.515297,19850,0.80069,15000,4643,0.266235,-55,21097,6747,0.304551,-260,N
0.240453,16643,0.596465,15000,5426,0.476122,-104,21097,6742,0.235901,-239,N
0.330987,17180,0.616552,15000,5694,0.417567,-55,21097,5564,0.153563,-114,N
0.157682,17198,0.645767,15000,5130,0.394446,-21,42195,16675,0.581724,-28,N
0.199999,16151,0.559874,15000,5113,0.248836,-79,42195,15460,0.470914,-651,N
0.079685,16200,0.52178,15000,5044,0.239912,-140,5000,2732,0.644279,-176,N
0.159921,14849,0.455793,15000,5088,0.33031,-55,21000,6557,0.261434,-239,N
-0.008553,15401,0.456648,15000,4977,0.469283,-7,42195,15313,0.461118,-63,Y
0.1484,14289,0.420874,15000,4365,0.270218,-21,15000,4702,0.27473,-83,N
0.092803,16150,0.501429,15000,5033,0.32239,-125,10000,3227,0.494862,-8,N
0.261637,21221,0.861404,15000,6456,0.661041,-118,21097,8267,0.538493,-224,N
0.094345,15566,0.464338,15000,4709,0.442224,-14,10000,3055,0.297761,-63,N
0.108637,12966,0.330073,15000,4400,0.207176,-287,21097,6740,0.235697,-56,N
0.6281,15648,0.85576,15000,4257,0.266248,-6,10000,2868,0.189072,-11,N
0.156566,15554,0.517569,15000,4517,0.294901,-385,42195,14433,0.427103,-28,N
0.013437,14694,0.408955,21000,8048,0.417478,-364,42195,13999,0.373559,-70,N
0.052451,13210,0.342759,21000,6606,0.266562,-294,42195,13106,0.314053,-70,N
0.071382,13719,0.377862,21000,6470,0.252329,-294,42195,13805,0.360632,-70,N
0.066188,12820,0.315862,21000,6096,0.213187,-294,10000,2655,0.286162,-21,N
0.144437,13780,0.382069,21000,5749,0.176871,-294,42195,12871,0.298394,-70,N
0.098105,13423,0.357448,21000,5843,0.186709,-294,42195,13375,0.331978,-70,N
0.105521,13023,0.329862,21000,6088,0.21235,-294,21097,6047,0.236332,-21,N
0.095633,13524,0.361732,21000,6463,0.251596,-343,42195,12604,0.280602,-70,N
0.104591,14145,0.374087,21000,6531,0.258713,-364,42195,12817,0.280279,-21,N
0.187743,17113,0.556103,21000,8112,0.424176,-245,21097,6829,0.312543,-21,N
0.05804,13582,0.366216,21000,6787,0.285505,-343,42195,13358,0.330846,-70,N
0.029921,12992,0.327724,21000,6464,0.251701,-294,42195,13554,0.343906,-70,N
-0.175936,12411,0.287655,21000,7547,0.365044,-294,42195,16829,0.562138,-70,Y
0.018047,14299,0.383868,21000,6244,0.228676,-364,42195,15941,0.502965,-70,N
0.073855,14939,0.462,21000,8099,0.422815,-294,21097,7249,0.353474,-21,N
0.100858,15319,0.488207,21000,6749,0.281528,-294,42195,15794,0.49317,-70,N
0.31673,17432,0.663858,21000,7331,0.342439,-343,21097,7232,0.351818,-21,N
0.175028,17038,0.606759,21000,8200,0.433386,-294,21097,8035,0.430075,-21,N
0.129671,16328,0.530438,21000,7241,0.333019,-721,42195,15424,0.468515,-70,N
0.060146,12406,0.28731,21097,5768,0.212915,-35,21097,5825,0.241413,-28,N
0.043993,13876,0.364583,21097,6049,0.391956,-14,21097,6084,0.249224,-84,N
0.162155,14302,0.384058,21097,6573,0.256149,-21,10000,2702,0.187657,-49,N
-0.046511,13207,0.347533,21097,7138,0.370332,-448,42195,14909,0.417756,-280,Y
0.139038,14410,0.425517,21097,6349,0.314577,-63,21097,6397,0.258382,-28,N
0.120624,13419,0.333672,21097,6547,0.215979,-357,21097,6107,0.210116,-21,N
0.044392,13852,0.387089,21097,6441,0.290245,-84,42195,14323,0.395149,-329,N
-0.010142,14307,0.384376,21097,6192,0.261634,-105,21097,7120,0.527401,-238,Y
0.264208,15373,0.504456,21097,6496,0.248543,-364,10000,3151,0.231953,-100,N
0.158517,13991,0.36375,21097,6039,0.235552,-21,10000,2728,0.174914,-13,N
0.010016,11346,0.214207,21097,5040,0.129266,-35,21097,6486,0.279115,-280,N
0.085664,12341,0.284793,21097,5617,0.195565,-84,15000,3903,0.202693,-20,N
0.115787,14404,0.429764,21097,6845,0.336666,-84,15000,4817,0.291289,-20,N
-0.324293,17482,0.608496,21097,8606,0.877063,-14,42195,16457,0.988513,-98,Y
0.09185,12503,0.29653,21097,6072,0.247846,-84,21097,5615,0.161513,-280,N
0.164457,14996,0.428136,21097,5795,0.211773,-385,42195,13129,0.315586,-49,N
0.109555,12666,0.2954,21097,5939,0.223514,-77,10000,2710,0.148176,-23,N
0.264517,17299,0.596117,21097,6565,0.304493,-98,15000,4772,0.358707,-20,N
0.522306,14716,0.702822,21097,5785,0.214868,-350,10000,2696,0.146164,-182,N
0.075643,12233,0.275379,21097,5849,0.222222,-35,15000,4025,0.17725,-20,N
0.131709,14409,0.434616,21097,6064,0.246926,-84,15000,4773,0.358887,-20,N
0.104015,14152,0.415997,21097,6212,0.263932,-84,42195,13796,0.360032,-693,N
0.06881,12625,0.29223,21097,5958,0.234747,-84,15000,4267,0.212095,-20,N
0.101901,12017,0.260483,21097,5367,0.166839,-35,15000,3838,0.150324,-20,N
0.09373,12344,0.283034,21097,5695,0.204527,-35,15000,4003,0.174082,-20,N
0.067505,11061,0.19206,21097,5016,0.126508,-84,21097,5019,0.122602,-28,N
0.088353,13230,0.344138,21097,6494,0.296335,-35,10000,3063,0.215236,-16,N
0.023523,11976,0.257655,21097,5358,0.165805,-35,42195,12932,0.302459,-329,N
0.198172,14159,0.408207,21097,6235,0.266575,-35,10000,2738,0.153495,-16,N
0.088615,14804,0.417315,21097,6382,0.26898,-21,42195,14222,0.388419,-49,N
0.202043,17912,0.667681,21097,7146,0.277176,-203,10000,5333,0.654099,-21,N
0.185282,15736,0.475135,21097,7976,0.394745,-21,15000,4574,0.184961,-154,N
0.096143,12399,0.288995,21097,5762,0.212226,-84,21097,6131,0.173478,-259,N
0.111179,14096,0.405953,21097,6419,0.287717,-84,21000,6943,0.301832,-259,N
0.243187,14929,0.46131,21097,5847,0.221992,-35,15000,4282,0.214255,-20,N
0.240132,15366,0.504136,21097,5551,0.187993,-364,42195,13726,0.340014,0,N
0.020885,12398,0.286759,21097,5946,0.233368,-35,21097,6233,0.29838,-28,N
0.172194,12480,0.292414,21097,5986,0.138144,-49,5000,1278,0.102296,-55,N
-0.244362,14669,0.407367,21097,6556,0.303459,-105,5000,3368,1,-182,Y
0.002641,12654,0.294472,21097,6130,0.244421,-364,42195,13484,0.339242,-49,N
0.08827,12734,0.315733,21097,5943,0.233023,-37,15000,4010,0.221903,-20,N
0.138371,15736,0.475135,21097,9309,0.526425,-21,21097,5538,0.147104,-77,N
0.157408,13988,0.372159,21097,6257,0.269103,-98,21097,6003,0.1604,-259,N
0.089832,12595,0.300345,21097,6004,0.240032,-35,15000,4051,0.180994,-20,N
-0.041678,12252,0.27669,21097,5731,0.208664,-35,10000,4249,0.428072,-259,Y
-0.071741,12222,0.274621,21097,5957,0.222534,-169,21097,7336,0.470189,-110,Y
-0.214458,14676,0.418696,21097,8092,0.779548,-14,42195,15298,0.486759,-413,Y
0.018361,12750,0.28842,21097,5652,0.316638,-14,21097,5892,0.22348,-112,N
-0.215669,12439,0.289586,21097,7133,0.369758,-35,42195,18093,0.640753,-14,Y
0.072262,13161,0.339379,21097,6483,0.295071,-35,15000,4455,0.239165,-20,N
0.064859,15858,0.498647,21097,6957,0.388123,-246,42195,15804,0.479454,-111,N
0.185266,14738,0.448138,21097,6468,0.293347,-35,15000,4408,0.232397,-20,N
-0.056146,12525,0.295517,21097,7616,0.425256,-35,42195,12566,0.27807,-329,Y
0.133489,12570,0.287978,21097,5572,0.190394,-84,10000,2657,0.118585,-259,N
0.355046,14970,0.744503,21097,6729,0.416557,-238,42195,14870,0.362356,-126,N
-0.069681,12277,0.265327,21097,6581,0.306331,-84,42195,13990,0.363684,-259,Y
0.063123,11669,0.236483,21097,5436,0.174767,-35,21000,5702,0.171952,-259,N
0.025317,11972,0.257379,21097,5755,0.188453,-28,42195,12530,0.275671,-336,N
0.195167,14455,0.437948,21097,6340,0.275248,-112,21097,6109,0.210313,-252,N
0.229082,14214,0.415075,21097,5690,0.203953,-84,15000,3961,0.168035,-20,N
0.078196,11862,0.250091,21097,5406,0.17132,-84,21097,5416,0.172469,-364,N
0.125109,13210,0.319535,21097,5560,0.189015,-98,21097,6389,0.199837,-259,N
0.101673,13593,0.345441,21097,5631,0.312654,-14,21097,5437,0.174882,-84,N
0.118196,13712,0.35349,21097,5859,0.223371,-98,15000,4151,0.247217,-20,N
0.112103,11640,0.234483,21097,5317,0.161094,-35,5000,1194,0.083665,-30,N
0.095703,12224,0.25208,21097,5512,0.151339,-21,15000,3695,0.161416,-21,N
0.064186,14425,0.435775,21097,6703,0.320349,-84,42195,14371,0.422828,-329,N
0.056817,13580,0.368276,21097,5859,0.24616,-63,42195,14047,0.376758,-301,N
0.109318,15653,0.484781,21097,6465,0.293002,-98,42195,15465,0.457923,-259,N
0.11235,15694,0.475952,21097,7034,0.332521,-21,42195,14316,0.394682,-49,N
0.154052,15686,0.527132,21097,7037,0.358727,-84,15000,4932,0.387433,-20,N
0.17744,14446,0.428,21097,6392,0.284615,-35,10000,3194,0.216505,-70,N
0.040285,13222,0.343586,21097,6029,0.242905,-35,42195,13851,0.363697,-329,N
0.031359,13568,0.365133,21097,7259,0.397324,-140,21000,6641,0.270225,-203,N
0.084011,14094,0.411795,21097,6672,0.316787,-84,15000,4661,0.338779,-20,N
0.129504,14714,0.446483,21097,6603,0.290517,-315,42195,13547,0.34344,-49,N
0.100049,12513,0.29469,21097,5739,0.209583,-35,15000,4042,0.179698,-20,N
0.221601,15283,0.459754,21097,6015,0.241296,-98,15000,4083,0.235009,-20,N
0.051765,14072,0.369451,21097,6217,0.264506,-105,42195,14099,0.370866,-259,N
0.081337,13568,0.367448,21097,6699,0.31989,-35,10000,3345,0.252333,-259,N
-0.066983,13962,0.3704,21097,6869,0.547524,-14,21097,6763,0.327243,-84,Y
0.072885,13978,0.362894,21097,6055,0.237111,-21,42195,13539,0.342907,-49,N
0.252656,16097,0.541862,21097,6098,0.250833,-35,10000,2820,0.327579,-28,N
0.075791,13088,0.338912,21097,6224,0.265311,-84,21097,6987,0.260932,-259,N
0.062533,13295,0.348621,21097,6140,0.245395,-315,42195,13297,0.326781,-49,N
0.100129,12823,0.316069,21097,5913,0.229576,-35,15000,4199,0.202304,-20,N
0.066945,12548,0.29979,21097,5832,0.220269,-84,15000,4141,0.245422,-20,N
0.113989,13060,0.332414,21097,5988,0.238194,-35,15000,4725,0.198655,-56,N
-0.006093,12494,0.293379,21097,5782,0.214524,-35,42195,14162,0.384421,-329,Y
0.354748,16146,0.545241,21097,6172,0.259336,-35,5000,1342,0.121651,-42,N
0.449753,18030,0.645563,21097,6279,0.227107,-378,10000,2796,0.164514,-100,N
0.095428,15524,0.464752,21097,7842,0.411266,-21,42195,13306,0.327381,-49,N
0.133804,13681,0.351393,21097,6216,0.182162,-357,21097,6117,0.253016,-105,N
0.044183,12919,0.314959,21097,6483,0.295071,-84,10000,2917,0.246482,-182,N
0.124201,12816,0.306997,21097,5827,0.219694,-84,10000,2698,0.145897,-16,N
0.114934,14760,0.424378,21097,7031,0.265427,-357,42195,13417,0.35346,-21,N
0.117611,12679,0.306138,21097,5897,0.227738,-35,10000,2716,0.149316,-16,N
0.11241,13348,0.352276,21097,6144,0.256119,-35,15000,4347,0.223614,-20,N
0.20119,14331,0.420069,21097,5904,0.228542,-35,15000,4247,0.209215,-20,N
0.011069,8960,0.049655,21097,4331,0.0478,-35,15000,2998,0.029374,-20,N
