MarathonResultInSecondsNormalized,ImprovementRate,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.369521104,-0.134338405,10000,0.614720812,-14,15000,0.392998205,-104,Y
0.437931034,0.042599035,10000,0.459346505,-51,15000,0.331317495,-4,N
0.407885582,-0.011292125,42195,0.477793103,-49,10000,0.36056231,-51,Y
0.290516775,0.059498587,42195,0.268999493,-14,21097,0.193036884,-84,N
0.287310345,0.060146295,21097,0.212915087,-35,21097,0.241413013,-28,N
0.364583333,0.043993138,21097,0.391955986,-14,21097,0.249224405,-84,N
0.384058431,0.162155465,21097,0.256149363,-21,10000,0.18765657,-49,N
0.423160173,0.066293471,42195,0.423603564,-14,21097,0.29012984,-84,N
0.425517241,0.13903793,21097,0.314576934,-63,21097,0.258381689,-28,N
0.364921537,-0.132386456,42195,0.334130262,-14,42195,0.660485724,-98,Y
0.363750165,0.158517273,21097,0.23555209,-21,10000,0.174913694,-13,N
0.418087121,-0.142763978,42195,0.339129175,-14,42195,0.782573023,-98,Y
0.284793161,0.085664288,21097,0.195564748,-84,15000,0.202692998,-20,N
0.342827586,0.135830837,10000,0.142287234,-51,15000,0.271706263,-4,N
0.687050638,0.338243412,15000,0.244235141,-21,42195,0.45337931,-28,N
0.429764206,0.115787098,21097,0.336665518,-84,15000,0.291288697,-20,N
0.608495671,-0.324292563,21097,0.877063176,-14,42195,0.988513292,-98,Y
0.295400077,0.109555072,21097,0.22351372,-77,10000,0.148176292,-23,N
0.374028199,0.070021721,42195,0.293093251,-21,42195,0.314919704,-49,N
0.596117424,0.264517392,21097,0.304492704,-98,15000,0.358707361,-20,N
0.494823754,0.193491431,42195,0.363896405,-21,21097,0.238768241,-84,N
0.443188314,-0.014769539,42195,0.498260533,-21,42195,0.417655172,-49,Y
0.551921245,0.17834846,42195,0.335214534,-21,42195,0.411931034,-49,N
0.27537931,0.075643289,21097,0.222222222,-35,15000,0.17724982,-20,N
0.434615663,0.131709043,21097,0.246926347,-84,15000,0.358886894,-20,N
0.348237536,0.041971587,42195,0.355034483,-70,21097,0.257497415,-35,N
0.292230383,0.068809547,21097,0.234746639,-84,15000,0.212095032,-20,N
0.260482759,0.101901261,21097,0.166839021,-35,15000,0.150323974,-20,N
0.283034483,0.093729859,21097,0.204527175,-35,15000,0.174082073,-20,N
0.192059697,0.067504514,21097,0.126508101,-84,21097,0.122602265,-28,N
0.362527787,0.097684071,42195,0.359180518,-21,21097,0.170506912,-98,N
0.391421795,0.208695497,10000,0.165017261,-34,21097,0.200435335,-14,N
0.344137931,0.088352851,21097,0.296334597,-35,10000,0.215235562,-16,N
0.56022317,0.167711676,15000,0.326211849,-6,42195,0.45881114,-36,N
0.408206897,0.198171804,21097,0.266574744,-35,10000,0.153495441,-16,N
0.417314534,0.088615349,21097,0.268979632,-21,42195,0.388418738,-49,N
0.196443757,-0.127710256,15000,0.221825268,-21,42195,0.426482759,-28,Y
0.295587916,-0.002204456,42195,0.446504759,-98,10000,0.149079985,-17,Y
0.408156542,-0.190311579,10000,0.851430811,-21,42195,0.345505431,-49,Y
0.461310345,0.243186707,21097,0.221992416,-35,15000,0.21425486,-20,N
0.386498918,0.05681141,42195,0.389697892,-14,21097,0.269677123,-84,N
0.286758621,0.020884548,21097,0.233367804,-35,21097,0.298380341,-28,N
0.314931537,-0.238255324,42195,0.612569741,-98,10000,0.49380398,-17,Y
0.292413793,0.172193511,21097,0.138144114,-49,5000,0.102296451,-55,N
0.334826723,-0.101667442,42195,0.581257804,-21,42195,0.291730526,-49,Y
0.33948873,0.014489943,15000,0.3081571,-21,42195,0.341840474,-28,N
0.444602273,0.10816515,42195,0.453524596,-14,21097,0.21934965,-84,N
0.315733067,0.088269993,21097,0.233023095,-37,15000,0.221903052,-20,N
0.475134963,0.138370648,21097,0.526424973,-21,21097,0.147103659,-77,N
0.300344828,0.089831981,21097,0.240032173,-35,15000,0.180993521,-20,N
0.327151477,0.060856914,42195,0.264244298,-21,42195,0.268344828,-49,N
0.289586207,-0.215669179,21097,0.369757555,-35,42195,0.640753218,-14,Y
0.300425203,0.037081849,42195,0.318137931,-49,21097,0.208548776,-35,N
0.533509574,0.393566596,5000,0.054676259,-22,21097,0.225209698,-15,N
0.325960498,0.043567594,42195,0.332452129,-61,21097,0.232333678,-37,N
0.409018736,0.062120998,42195,0.293312717,-21,42195,0.400482759,-49,N
0.33937931,0.072261544,21097,0.295070665,-35,15000,0.239164867,-20,N
0.448137931,0.185265666,21097,0.293347122,-35,15000,0.232397408,-20,N
0.359655172,0.095507659,10000,0.250229991,-7,21097,0.278065035,-28,N
0.470779221,0.241121187,42195,0.228935739,-14,21097,0.230380329,-84,N
0.339409336,0.084746917,42195,0.284689655,-70,21097,0.224635183,-35,N
0.327087964,0.068018186,42195,0.254967143,-21,42195,0.263172414,-49,N
0.415075377,0.229081768,21097,0.20395266,-84,15000,0.168034557,-20,N
0.346793831,0.079670445,42195,0.338911831,-14,21097,0.195334942,-84,N
0.586478503,0.412185394,15000,0.235368043,-6,10000,0.113218175,-11,N
0.405652588,0.064133881,42195,0.322071898,-21,42195,0.360965517,-49,N
0.345441017,0.101672832,21097,0.312654145,-14,21097,0.174882225,-84,N
0.385078463,-0.077461554,42195,0.317104977,-14,42195,0.607975057,-98,Y
0.277704572,0.020224509,42195,0.252349346,-21,42195,0.262610782,-49,N
0.35349026,0.118196016,21097,0.223371251,-98,15000,0.247217235,-20,N
0.234482759,0.112103151,21097,0.161093876,-35,5000,0.083665339,-30,N
0.252080025,0.095702735,21097,0.151338536,-21,15000,0.161416044,-21,N
0.52010162,0.081518972,42195,0.520061848,-21,42195,0.357103448,-49,N
0.475952036,0.112350197,21097,0.332521197,-21,42195,0.394682482,-49,N
0.520344828,0.259696043,15000,0.316774658,-55,10000,0.204522912,-36,N
0.527131783,0.154052008,21097,0.358726876,-84,15000,0.387432675,-20,N
0.358639351,0.132193961,15000,0.211594674,-21,21097,0.241296105,-63,N
0.428,0.177440226,21097,0.284614501,-35,10000,0.216505047,-70,N
0.271172933,0.123770097,15000,0.187971275,-104,10000,0.106834397,-11,N
0.411794537,0.084011293,21097,0.316787315,-84,15000,0.338779174,-20,N
0.294689655,0.100049392,21097,0.209582902,-35,15000,0.179697624,-20,N
0.459753788,0.221601247,21097,0.241296105,-98,15000,0.235008977,-20,N
0.484026675,0.048380993,42195,0.453498261,-21,42195,0.417793103,-49,N
0.339853922,0.159655302,10000,0.160007503,-21,15000,0.200389737,-21,N
0.234248164,0.020546096,42195,0.282551724,-49,15000,0.144852412,-55,N
0.370400433,-0.066983401,21097,0.547524189,-14,21097,0.327243479,-84,Y
0.539599873,0.215241849,42195,0.298647082,-21,42195,0.350068966,-49,N
0.362893662,0.072884644,21097,0.237111393,-21,42195,0.342906644,-49,N
0.541862069,0.252655986,21097,0.250833046,-35,10000,0.32757912,-28,N
0.316068966,0.100129054,21097,0.229576008,-35,15000,0.202303816,-20,N
0.299789901,0.066944513,21097,0.220268873,-84,15000,0.245421903,-20,N
0.332413793,0.11398946,21097,0.238193726,-35,15000,0.198654941,-56,N
0.545241379,0.354747801,21097,0.259335861,-35,5000,0.121651296,-42,N
0.426103525,0.106577038,42195,0.412827586,-70,21097,0.226225388,-49,N
0.267800541,0.055667923,42195,0.263862069,-49,15000,0.160403168,-55,N
0.371985769,-0.00198141,42195,0.351186173,-21,42195,0.396748184,-49,Y
0.464751614,0.095428357,21097,0.411265958,-21,42195,0.327380556,-49,N
0.326787785,0.134763621,15000,0.248092153,-104,5000,0.135956175,-10,N
0.154826838,-0.174586461,15000,0.306457704,-21,42195,0.352368895,-28,Y
0.335931034,0.123526094,5000,0.215646534,-55,5000,0.209163347,-10,N
0.306996521,0.124201014,21097,0.219694358,-84,10000,0.145896657,-16,N
0.329793103,-0.015096304,10000,0.239740821,-48,10000,0.450037994,-3,Y
0.306137931,0.117611095,21097,0.227737562,-35,10000,0.149316109,-16,N
0.352275862,0.112409517,21097,0.25611858,-35,15000,0.223614111,-20,N
0.313611807,0.067704076,10000,0.235201882,-21,42195,0.25661358,-49,N
0.420068966,0.201190393,21097,0.228541882,-35,15000,0.209215263,-20,N
0.049655172,0.011068543,21097,0.047799609,-35,15000,0.02937365,-20,N
0.32688546,0.092994436,15000,0.277019749,-104,10000,0.190762298,-11,N
0.122137931,0.07400404,15000,0.079193665,-55,5000,0.017074117,-11,N
0.135931034,0.039218821,21097,0.107319315,-35,15000,0.086105112,-20,N
0.483594677,0.047842773,42195,0.477820858,-21,42195,0.393682948,-49,N
0.557700857,0.229667814,21097,0.394547071,-21,21097,0.261519016,-84,N
0.480827514,-0.028670512,42195,0.456791746,-21,42195,0.562204305,-49,Y
0.522993807,0.065810005,21097,0.355228535,-21,42195,0.559139068,-49,N
0.667586207,0.366019467,21097,0.35769275,-35,10000,0.245440729,-16,N
0.508465404,0.118048956,42195,0.462896552,-49,21097,0.317936344,-35,N
0.655931034,0.231469223,21097,0.426749397,-35,15000,0.422174226,-20,N
0.701352918,0.313624784,15000,0.381292627,-21,21097,0.394163641,-91,N
0.500579822,0.124608997,15000,0.384540435,-21,10000,0.367401216,-79,N
