@relation WekaTry2

@attribute ﻿MarathonResultInSecondsNormalized numeric
@attribute ImprovementRate numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {Y,N}

@data
0.369521,-0.134338,10000,0.614721,-14,15000,0.392998,-104,Y
0.437931,0.042599,10000,0.459347,-51,15000,0.331317,-4,N
0.407886,-0.011292,42195,0.477793,-49,10000,0.360562,-51,Y
0.290517,0.059499,42195,0.268999,-14,21097,0.193037,-84,N
0.28731,0.060146,21097,0.212915,-35,21097,0.241413,-28,N
0.364583,0.043993,21097,0.391956,-14,21097,0.249224,-84,N
0.384058,0.162155,21097,0.256149,-21,10000,0.187657,-49,N
0.42316,0.066293,42195,0.423604,-14,21097,0.29013,-84,N
0.425517,0.139038,21097,0.314577,-63,21097,0.258382,-28,N
0.364922,-0.132386,42195,0.33413,-14,42195,0.660486,-98,Y
0.36375,0.158517,21097,0.235552,-21,10000,0.174914,-13,N
0.418087,-0.142764,42195,0.339129,-14,42195,0.782573,-98,Y
0.284793,0.085664,21097,0.195565,-84,15000,0.202693,-20,N
0.342828,0.135831,10000,0.142287,-51,15000,0.271706,-4,N
0.687051,0.338243,15000,0.244235,-21,42195,0.453379,-28,N
0.429764,0.115787,21097,0.336666,-84,15000,0.291289,-20,N
0.608496,-0.324293,21097,0.877063,-14,42195,0.988513,-98,Y
0.2954,0.109555,21097,0.223514,-77,10000,0.148176,-23,N
0.374028,0.070022,42195,0.293093,-21,42195,0.31492,-49,N
0.596117,0.264517,21097,0.304493,-98,15000,0.358707,-20,N
0.494824,0.193491,42195,0.363896,-21,21097,0.238768,-84,N
0.443188,-0.01477,42195,0.498261,-21,42195,0.417655,-49,Y
0.551921,0.178348,42195,0.335215,-21,42195,0.411931,-49,N
0.275379,0.075643,21097,0.222222,-35,15000,0.17725,-20,N
