@RELATION WekaTry3

@ATTRIBUTE attribute_0 {Desert Marathon,Jerusalem Marathon,Tel Aviv Marathon,Tiberias Winner Marathon,﻿Marathon Name}
@ATTRIBUTE attribute_1 {"המרתון המדברי,"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'","מרוץ הערבה ע""ש יוני פרידמן","מרוץ ראשון לציון,Desert Marathon 2017,International Tiberias Winner Marathon 2018,RaceOne,חצי מרתון גליל מערבי,חצי מרתון השרון 2016,חצי מרתון השרון 2017,חצי מרתון חיפה ה-19,חצי מרתון עמק המעיינות,מסכמת תל אביב,מרוץ אייל 2016,מרוץ אייל 2017,מרוץ אלישע דגניה ב' 2017,מרוץ הגליל העליון ה-2,מרוץ הגליל העליון ה-3,מרוץ הלילה של תל-אביב,מרוץ הלילה של תל-אביב 2017,מרוץ התחתונים ה-6,מרוץ חבר,מרוץ חיפה 2017,מרוץ כוכב יאיר צור יגאל 2016,מרוץ כפר סבא,מרוץ כפר-סבא 2017,מרוץ להבים,מרוץ מעגן מיכאל,מרוץ נהריה 2016,מרוץ נס ציונה,מרוץ ספארי רמת-גן,מרוץ ראשון לציון 2017,מרוץ שליחים כרמל טרייל יום III,מרתון Winner טבריה 2017,מרתון סמסונג תל-אביב 2016,מרתון סמסונג תל-אביב 2017,מרתון סמסונג תל-אביב 2018}
@ATTRIBUTE attribute_2 {RaceOneKM,אילת 2016",אליפות הארץ ל 15 ק""מ",5000,10000,15000,21097,42195}
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 {-98,-49,-21,"המרתון המדברי,"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'","מרוץ הערבה ע""ש יוני פרידמן","מרוץ ראשון לציון,"מרתון התנ""ך 2017",Desert Marathon 2017,International Tiberias Winner Marathon 2018,RaceTwo,בשביל הבנים הדרוזים,חצי מרתון אשכול גליל מערבי,חצי מרתון גליל מערבי,חצי מרתון השרון 2016,חצי מרתון השרון 2017,חצי מרתון חיפה ה-19,חצי מרתון עמק המעיינות,מסכמת תל אביב,מרוץ אייל 2016,מרוץ אייל 2017,מרוץ אשדוד אליפות ישראל,מרוץ בית יצחק,מרוץ גיא,מרוץ דגניה ב,מרוץ הלילה של נהריה 2017,מרוץ הלילה של תל-אביב,מרוץ הלילה של תל-אביב 2017,מרוץ התחתונים ה-6,מרוץ חבר,מרוץ חיפה 2017,מרוץ כוכב יאיר צור יגאל 2016,מרוץ נהריה 2016,מרוץ נס ציונה,מרוץ ספארי רמת-גן,מרוץ ראשון לציון 2017,מרתון Winner טבריה 2017,מרתון טבריה Winner 2016,מרתון סמסונג תל-אביב 2016,מרתון סמסונג תל-אביב 2017,מרתון סמסונג תל-אביב 2018,ספורטיאדה ריצה ואופניים יום I,שביל הבנים הדרוזים 2017}
@ATTRIBUTE attribute_6 {RaceTwoKM,אילת 2016",אליפות הארץ ל 15 ק""מ",בשביל הבנים הדרוזים,מרוץ אייל 2016,מרוץ גיא,מרוץ הלילה של תל-אביב,מרוץ כוכב יאיר צור יגאל 2016,מרתון טבריה Winner 2016,5000,10000,15000,21097,42195}
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 {-0.215669179,-0.174586461,-0.082839791,-0.071312378,-0.02049143,-0.004769332,6.25E-05,0.010449148,0.014489943,0.030416983,0.033153012,0.034807161,0.039829206,0.041157229,0.046475263,0.046554953,0.048813074,0.049594136,0.063925742,0.07320708,0.083788938,0.087728666,0.089009278,0.092999982,0.097684071,0.106577038,0.112547782,0.124013958,0.133135206,0.134501548,0.143946516,0.155706161,0.160721089,0.165110336,0.168380915,0.172193511,0.172271523,0.183198071,0.190877815,0.195560987,0.208016315,0.218905121,0.224393941,0.243287052,0.254375723,0.26100101,0.265141594,0.290113693,0.296547784,0.335186489,0.351423989,Failure,Improvement,Same,Seccess}

@DATA
﻿Marathon Name,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,ImprovementRate,Improvement
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,10000,0.614720812,-14,מרוץ אייל 2017,15000,0.392998205,-104,13949,-0.134338405,Seccess
Tiberias Winner Marathon,מרוץ הלילה של תל-אביב,10000,0.459346505,-51,מרוץ אייל 2016,15000,0.331317495,-4,14590,0.042599035,Same
Tel Aviv Marathon,מרתון Winner טבריה 2017,42195,0.477793103,-49,מרוץ הלילה של תל-אביב,10000,0.36056231,-51,14121,-0.011292125,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.268999493,-14,חצי מרתון עמק המעיינות,21097,0.193036884,-84,12781,0.059498587,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.212915087,-35,חצי מרתון חיפה ה-19,21097,0.241413013,-28,12406,0.060146295,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,21097,0.391955986,-14,חצי מרתון עמק המעיינות,21097,0.249224405,-84,13876,0.043993138,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,21097,0.256149363,-21,מרתון Winner טבריה 2017,10000,0.18765657,-49,14302,0.162155465,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.423603564,-14,חצי מרתון עמק המעיינות,21097,0.29012984,-84,14742,0.066293471,Same
Tiberias Winner Marathon,חצי מרתון חיפה ה-19,21097,0.314576934,-63,חצי מרתון אשכול גליל מערבי,21097,0.258381689,-28,14410,0.13903793,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.334130262,-14,Desert Marathon 2017,42195,0.660485724,-98,13881,-0.132386456,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.23555209,-21,מרוץ נס ציונה,10000,0.174913694,-13,13991,0.158517273,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.339129175,-14,Desert Marathon 2017,42195,0.782573023,-98,14667,-0.142763978,Seccess
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.195564748,-84,מרוץ אייל 2017,15000,0.202692998,-20,12341,0.085664288,Same
Tiberias Winner Marathon,מרוץ הלילה של תל-אביב,10000,0.142287234,-51,מרוץ אייל 2016,15000,0.271706263,-4,13211,0.135830837,Same
Tel Aviv Marathon,מרוץ ראשון לציון 2017,15000,0.244235141,-21,מרתון Winner טבריה 2017,42195,0.45337931,-28,17732,0.338243412,Failure
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.336665518,-84,מרוץ אייל 2016,15000,0.291288697,-20,14404,0.115787098,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,21097,0.877063176,-14,Desert Marathon 2017,42195,0.988513292,-98,17482,-0.324292563,Seccess
Tel Aviv Marathon,חצי מרתון השרון 2016,21097,0.22351372,-77,מרוץ הלילה של תל-אביב,10000,0.148176292,-23,12666,0.109555072,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.293093251,-21,מרתון טבריה Winner 2016,42195,0.314919704,-49,14147,0.070021721,Same
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.304492704,-98,מרוץ אייל 2017,15000,0.358707361,-20,17299,0.264517392,Failure
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.363896405,-21,חצי מרתון עמק המעיינות,21097,0.238768241,-84,16046,0.193491431,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.498260533,-21,מרתון Winner טבריה 2017,42195,0.417655172,-49,15233,-0.014769539,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.335214534,-21,מרתון Winner טבריה 2017,42195,0.411931034,-49,16945,0.17834846,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.222222222,-35,מרוץ אייל 2016,15000,0.17724982,-20,12233,0.075643289,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.246926347,-84,מרוץ אייל 2017,15000,0.358886894,-20,14409,0.131709043,Same
Jerusalem Marathon,מרתון Winner טבריה 2017,42195,0.355034483,-70,חצי מרתון עמק המעיינות,21097,0.257497415,-35,13738,0.041971587,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.234746639,-84,מרוץ אייל 2016,15000,0.212095032,-20,12625,0.068809547,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.166839021,-35,מרוץ אייל 2016,15000,0.150323974,-20,12017,0.101901261,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.204527175,-35,מרוץ אייל 2016,15000,0.174082073,-20,12344,0.093729859,Same
