Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass
JerusalemMarathon,מרתוןסמסונגתל-אביב,10000,0.453473132,-14,מרוץאייל,15000,0.314285714,-104,13949,0.369521104,-0.014358319,Success
מרתוןטבריהWinner,מרוץהלילהשלתל-אביב,10000,0.459346505,-51,מרוץאייל,15000,0.333237617,-4,14590,0.418865435,0.022573375,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.456992084,-49,מרוץהלילהשלתל-אביב,10000,0.36056231,-51,14121,0.371834104,-0.036943093,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.24174751,-14,חצימרתוןעמקהמעיינות,21097,0.193036884,-84,12781,0.290516775,0.073124578,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.212915087,-35,חצימרתוןחיפהה-19,21097,0.241413013,-28,12406,0.274802111,0.047638061,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.231561874,-14,חצימרתוןעמקהמעיינות,21097,0.249224405,-84,13876,0.364583333,0.124190194,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.281557103,-21,מרתוןטבריהWinner,10000,0.162910241,-49,14302,0.384058431,0.161824759,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.380688847,-14,חצימרתוןעמקהמעיינות,21097,0.29012984,-84,14742,0.423160173,0.08775083,Failure
מרתוןטבריהWinner,חצימרתוןחיפהה-19,21097,0.314576934,-63,חצימרתוןאשכולגלילמערבי,21097,0.258381689,-28,14410,0.406992084,0.120512773,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.300279966,-14,DesertMarathon,42195,0.660485724,-98,13881,0.364921537,-0.115461308,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.230607766,-21,מרוץנסציונה,10000,0.174913694,-13,13991,0.364306129,0.161545399,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.304772446,-14,DesertMarathon,42195,0.782573023,-98,14667,0.418087121,-0.125585613,Success
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.195564748,-84,מרוץאייל,15000,0.162096195,-20,12341,0.255941142,0.07711067,Failure
מרתוןטבריהWinner,מרוץהלילהשלתל-אביב,10000,0.142287234,-51,מרוץאייל,15000,0.273797559,-4,13211,0.327902375,0.119859978,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.244235141,-21,מרתוןטבריהWinner,42195,0.433641161,-28,17732,0.606940556,0.268002405,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.336665518,-84,מרוץאייל,15000,0.293323762,-20,14404,0.390259783,0.075265143,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.475527144,-14,DesertMarathon,42195,0.988513292,-98,17482,0.608495671,-0.123524547,Success
מרתוןסמסונגתל-אביב,חצימרתוןהשרון,21097,0.191385218,-77,מרוץהלילהשלתל-אביב,10000,0.148176292,-23,12666,0.277101374,0.107320619,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.299628882,-21,מרתוןטבריהWinner,42195,0.321833773,-49,14147,0.374214036,0.063482709,Failure
JerusalemMarathon,חצימרתוןעמקהמעיינות,21097,0.304492704,-98,מרוץאייל,15000,0.286862886,-20,17299,0.596117424,0.300439629,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.334787421,-21,חצימרתוןעמקהמעיינות,21097,0.238768241,-84,16046,0.494823754,0.208045923,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.44794583,-21,מרתוןטבריהWinner,42195,0.399472296,-49,15233,0.443188314,0.019479251,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.310632203,-21,מרתוןטבריהWinner,42195,0.393997361,-49,16945,0.551921245,0.199606463,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.222222222,-35,מרוץאייל,15000,0.179612347,-20,12233,0.263390501,0.062473216,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.246926347,-84,מרוץאייל,15000,0.287006461,-20,14409,0.390585325,0.123618921,Failure
JerusalemMarathon,מרתוןטבריהWinner,42195,0.339577836,-70,חצימרתוןעמקהמעיינות,21097,0.257497415,-35,13738,0.348237536,0.04969991,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.234746639,-84,מרוץאייל,15000,0.214357502,-20,12625,0.274431929,0.049879859,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.166839021,-35,מרוץאייל,15000,0.152763819,-20,12017,0.24914248,0.08934106,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.204527175,-35,מרוץאייל,15000,0.176453697,-20,12344,0.270712401,0.080221965,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.126508101,-84,מרוץחיפה,21097,0.122602265,-28,11061,0.172602383,0.0480472,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.330815808,-21,המרתוןהמדבריאילת,21097,0.170506912,-98,13963,0.362527787,0.111866426,Failure
JerusalemMarathon,מרוץנסציונה,10000,0.165017261,-34,מרוץהערבהעשיוניפרידמן,21097,0.200435335,-14,14411,0.390981264,0.208254966,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.296334597,-35,מרוץהלילהשלתל-אביב,10000,0.215235562,-16,13230,0.329155673,0.073370593,Failure
DesertMarathon,מרוץאייל,15000,0.260875808,-6,מרתוןהתנך,42195,0.45881114,-36,13847,0.56022317,0.200379697,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.266574744,-35,מרוץהלילהשלתל-אביב,10000,0.153495441,-16,14159,0.390435356,0.180400264,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.263333651,-21,מרתוןטבריהWinner,42195,0.394591029,-49,14804,0.415941569,0.086979229,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.221825268,-21,מרתוןטבריהWinner,42195,0.407915567,-28,11386,0.193762615,-0.121107803,Success
מרתוןסמסונגתל-אביב,DesertMarathon,42195,0.446504759,-98,מרוץהלילהשלתל-אביב,10000,0.149079985,-17,12490,0.265642294,-0.032150077,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,10000,0.423328965,-21,מרתוןטבריהWinner,42195,0.352110818,-49,14665,0.407113369,0.019393478,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.221992416,-35,מרוץאייל,15000,0.216511127,-20,14929,0.441226913,0.221975141,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.350218113,-14,חצימרתוןעמקהמעיינות,21097,0.269677123,-84,14200,0.386498918,0.0765513,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.233367804,-35,חצימרתוןחיפהה-19,21097,0.298380341,-28,12398,0.274274406,0.008400334,Failure
מרתוןסמסונגתל-אביב,DesertMarathon,42195,0.612569741,-98,מרוץהלילהשלתל-אביב,10000,0.49380398,-17,12757,0.283026239,-0.270160622,Success
מרתוןטבריהWinner,המרתוןהמדבריאילת,21097,0.138144114,-49,מרוץגיא,5000,0.102296451,-55,12480,0.279683377,0.159463095,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.58512924,-21,מרתוןטבריהWinner,42195,0.298878628,-49,13552,0.336424262,-0.105579672,Success
